,Date,Start Time,Distance,Time,MPH,Pace,Day,Week,Month,time_h,time_m,time_s,pace_h,pace_m,pace_s,timeSeconds,paceSeconds
0,2019-02-11,13:41:12,4.0,0:29:58,8.01,00:07:30,Mon,7,2,0,29,58,0,7,30,1798,450
1,2019-02-12,13:04:32,3.6,0:27:03,7.99,00:07:31,Tue,7,2,0,27,3,0,7,31,1623,451
2,2019-02-15,14:18:42,3.8,0:30:47,7.41,00:08:06,Fri,7,2,0,30,47,0,8,6,1847,486
3,2019-02-18,13:22:18,4.6,0:36:30,7.56,00:07:56,Mon,8,2,0,36,30,0,7,56,2190,476
4,2019-02-21,12:36:29,3.8,0:29:45,7.66,00:07:50,Thu,8,2,0,29,45,0,7,50,1785,470
5,2019-02-25,13:30:00,4.1,0:30:01,8.2,00:07:19,Mon,9,2,0,30,1,0,7,19,1801,439
6,2019-02-27,14:00:00,4.0,0:29:50,8.04,00:07:28,Wed,9,2,0,29,50,0,7,28,1790,448
7,2019-03-01,13:52:47,3.1,0:26:10,7.11,00:08:26,Fri,9,3,0,26,10,0,8,26,1570,506
8,2019-02-03,9:25:08,3.9,0:30:27,7.68,00:07:48,Sun,6,2,0,30,27,0,7,48,1827,468
9,2019-01-30,13:08:53,3.8,0:28:07,8.11,00:07:24,Wed,5,1,0,28,7,0,7,24,1687,444
10,2019-01-25,14:35:45,4.0,0:30:06,7.97,00:07:32,Fri,4,1,0,30,6,0,7,32,1806,452
11,2019-01-22,13:18:42,3.5,0:27:37,7.6,00:07:53,Tue,4,1,0,27,37,0,7,53,1657,473
12,2019-01-20,14:05:26,3.7,0:28:15,7.86,00:07:38,Sun,4,1,0,28,15,0,7,38,1695,458
13,2019-01-09,13:09:19,4.2,0:32:14,7.82,00:07:40,Wed,2,1,0,32,14,0,7,40,1934,460
14,2019-01-07,13:06:53,3.9,0:29:02,8.06,00:07:27,Mon,2,1,0,29,2,0,7,27,1742,447
15,2019-03-04,13:30:15,3.5,0:26:10,8.03,00:07:29,Mon,10,3,0,26,10,0,7,29,1570,449
16,2019-03-06,13:00:28,3.5,0:25:34,8.21,00:07:18,Wed,10,3,0,25,34,0,7,18,1534,438
17,2019-03-08,13:36:58,3.6,0:28:35,7.56,00:07:56,Fri,10,3,0,28,35,0,7,56,1715,476
18,2019-03-12,13:17:14,4.0,0:30:15,7.93,00:07:34,Tue,11,3,0,30,15,0,7,34,1815,454
